rennen_name,datum,ort,platz,fahrer
FORMULA 1 LOUIS VUITTON AUSTRALIAN GRAND PRIX 2025,2025-03-16,Melbourne,1,Lando Norris
FORMULA 1 LOUIS VUITTON AUSTRALIAN GRAND PRIX 2025,2025-03-16,Melbourne,2,Max Verstappen
FORMULA 1 LOUIS VUITTON AUSTRALIAN GRAND PRIX 2025,2025-03-16,Melbourne,3,George Russell
FORMULA 1 LOUIS VUITTON AUSTRALIAN GRAND PRIX 2025,2025-03-16,Melbourne,4,Andrea Kimi Antonelli
FORMULA 1 LOUIS VUITTON AUSTRALIAN GRAND PRIX 2025,2025-03-16,Melbourne,5,Alexander Albon
FORMULA 1 LOUIS VUITTON AUSTRALIAN GRAND PRIX 2025,2025-03-16,Melbourne,6,Lance Stroll
FORMULA 1 LOUIS VUITTON AUSTRALIAN GRAND PRIX 2025,2025-03-16,Melbourne,7,Nico Hülkenberg
FORMULA 1 LOUIS VUITTON AUSTRALIAN GRAND PRIX 2025,2025-03-16,Melbourne,8,Charles Leclerc
FORMULA 1 LOUIS VUITTON AUSTRALIAN GRAND PRIX 2025,2025-03-16,Melbourne,9,Oscar Piastri
FORMULA 1 LOUIS VUITTON AUSTRALIAN GRAND PRIX 2025,2025-03-16,Melbourne,10,Lewis Hamilton
FORMULA 1 LOUIS VUITTON AUSTRALIAN GRAND PRIX 2025,2025-03-16,Melbourne,11,Pierre Gasly
FORMULA 1 LOUIS VUITTON AUSTRALIAN GRAND PRIX 2025,2025-03-16,Melbourne,12,Yuki Tsunoda
FORMULA 1 LOUIS VUITTON AUSTRALIAN GRAND PRIX 2025,2025-03-16,Melbourne,13,Esteban Ocon
FORMULA 1 LOUIS VUITTON AUSTRALIAN GRAND PRIX 2025,2025-03-16,Melbourne,14,Oliver Bearman
FORMULA 1 LOUIS VUITTON AUSTRALIAN GRAND PRIX 2025,2025-03-16,Melbourne,0,Liam Lawson
FORMULA 1 LOUIS VUITTON AUSTRALIAN GRAND PRIX 2025,2025-03-16,Melbourne,0,Gabriel Bortoleto
FORMULA 1 LOUIS VUITTON AUSTRALIAN GRAND PRIX 2025,2025-03-16,Melbourne,0,Fernando Alonso
FORMULA 1 LOUIS VUITTON AUSTRALIAN GRAND PRIX 2025,2025-03-16,Melbourne,0,Carlos Sainz
FORMULA 1 LOUIS VUITTON AUSTRALIAN GRAND PRIX 2025,2025-03-16,Melbourne,0,Jack Doohan
FORMULA 1 LOUIS VUITTON AUSTRALIAN GRAND PRIX 2025,2025-03-16,Melbourne,0,Isack Hadjar
FORMULA 1 HEINEKEN CHINESE GRAND PRIX 2025,2025-03-23,Shanghai,1,Oscar Piastri
FORMULA 1 HEINEKEN CHINESE GRAND PRIX 2025,2025-03-23,Shanghai,2,Lando Norris
FORMULA 1 HEINEKEN CHINESE GRAND PRIX 2025,2025-03-23,Shanghai,3,George Russell
FORMULA 1 HEINEKEN CHINESE GRAND PRIX 2025,2025-03-23,Shanghai,4,Max Verstappen
FORMULA 1 HEINEKEN CHINESE GRAND PRIX 2025,2025-03-23,Shanghai,5,Esteban Ocon
FORMULA 1 HEINEKEN CHINESE GRAND PRIX 2025,2025-03-23,Shanghai,6,Andrea Kimi Antonelli
FORMULA 1 HEINEKEN CHINESE GRAND PRIX 2025,2025-03-23,Shanghai,7,Alexander Albon
FORMULA 1 HEINEKEN CHINESE GRAND PRIX 2025,2025-03-23,Shanghai,8,Oliver Bearman
FORMULA 1 HEINEKEN CHINESE GRAND PRIX 2025,2025-03-23,Shanghai,9,Lance Stroll
FORMULA 1 HEINEKEN CHINESE GRAND PRIX 2025,2025-03-23,Shanghai,10,Carlos Sainz
FORMULA 1 HEINEKEN CHINESE GRAND PRIX 2025,2025-03-23,Shanghai,11,Isack Hadjar
FORMULA 1 HEINEKEN CHINESE GRAND PRIX 2025,2025-03-23,Shanghai,12,Liam Lawson
FORMULA 1 HEINEKEN CHINESE GRAND PRIX 2025,2025-03-23,Shanghai,13,Jack Doohan
FORMULA 1 HEINEKEN CHINESE GRAND PRIX 2025,2025-03-23,Shanghai,14,Gabriel Bortoleto
FORMULA 1 HEINEKEN CHINESE GRAND PRIX 2025,2025-03-23,Shanghai,15,Nico Hülkenberg
FORMULA 1 HEINEKEN CHINESE GRAND PRIX 2025,2025-03-23,Shanghai,16,Yuki Tsunoda
FORMULA 1 HEINEKEN CHINESE GRAND PRIX 2025,2025-03-23,Shanghai,0,Fernando Alonso
FORMULA 1 HEINEKEN CHINESE GRAND PRIX 2025,2025-03-23,Shanghai,0,Charles Leclerc
FORMULA 1 HEINEKEN CHINESE GRAND PRIX 2025,2025-03-23,Shanghai,0,Lewis Hamilton
FORMULA 1 HEINEKEN CHINESE GRAND PRIX 2025,2025-03-23,Shanghai,0,Pierre Gasly
FORMULA 1 LENOVO JAPANESE GRAND PRIX 2025,2025-04-06,Suzuka,1,Max Verstappen
FORMULA 1 LENOVO JAPANESE GRAND PRIX 2025,2025-04-06,Suzuka,2,Lando Norris
FORMULA 1 LENOVO JAPANESE GRAND PRIX 2025,2025-04-06,Suzuka,3,Oscar Piastri
FORMULA 1 LENOVO JAPANESE GRAND PRIX 2025,2025-04-06,Suzuka,4,Charles Leclerc
FORMULA 1 LENOVO JAPANESE GRAND PRIX 2025,2025-04-06,Suzuka,5,George Russell
FORMULA 1 LENOVO JAPANESE GRAND PRIX 2025,2025-04-06,Suzuka,6,Andrea Kimi Antonelli
FORMULA 1 LENOVO JAPANESE GRAND PRIX 2025,2025-04-06,Suzuka,7,Lewis Hamilton
FORMULA 1 LENOVO JAPANESE GRAND PRIX 2025,2025-04-06,Suzuka,8,Isack Hadjar
